MANDATORY INFORMATION,,,,ADDITIONAL INFORMATION,
TAGNAME,GRAPHIC OBJECT,DESTINATION GRAPHIC DISPLAY,LAYER,PID NUMBER,LOCATION
@begin
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
P9901A,PUMP,815_WasteWaterSumps,FAILURE,9901_SUM9901,232
P9901B,PUMP,815_WasteWaterSumps,FAILURE,9901_SUM9901,233
P3105,PUMP,Overview Display,FAILURE,3114_V3105,234
P3103,PUMP,Overview Display,FAILURE,3113,235
P2761A,PUMP,815_SanitarySumps_GE,FAILURE,2704_SUM276101,236
P2761B,PUMP,815_SanitarySumps_GE,FAILURE,2704_SUM276101,237
P2750A,PUMP,815_SanitarySumps_GE,FAILURE,2703_SUM275001,238
P2750B,PUMP,815_SanitarySumps_GE,FAILURE,2703_SUM275001,239
P2740B,PUMP,815_SanitarySumps_GE,FAILURE,2702_SUM274001,240
P2740A,PUMP,815_SanitarySumps_GE,FAILURE,2702_SUM274001,241
P2710A,PUMP,815_SanitarySumps_GE,FAILURE,2700_SUM271001,242
P2710B,PUMP,815_SanitarySumps_GE,FAILURE,2700_SUM271001,243
P1801,PUMP,815_WasteWaterSumps,FAILURE,1801_SUM1801,244
FL1102,FILTER,OverView Display,FOD+FAILURE,1117,245
FL1103,FILTER,OverView Display,FOD+FAILURE,1117,246
FL1106,FILTER,Train1&2_PurgeAir_GE,FOD+FAILURE,1101A,247
FL2101,FILTER,Train2_VentFilters_GE,FOD+FAILURE,2117,248
FL2102,FILTER,H2131_DetailedDisplay,FOD+FAILURE,2150_H2131,249
FL2103,FILTER,Train2_VentFilters_GE,FOD+FAILURE,2117,250
FL2104,FILTER,Train2_VentFilters_GE,FOD+FAILURE,2117,251
FL3101,FILTER,H3110_DetailedDisplay,FOD+FAILURE,3310_H3111,252
FL3102,FILTER,Train3_VentFilters_GE,FOD+FAILURE,3170,253
FL3103,FILTER,Overview Display,FOD+FAILURE,3113,254
FL3105,FILTER,Overview Display,FOD+FAILURE,3114_V3105,255
FL3106,FILTER,Train3_VentFilters_GE,FOD+FAILURE,3170,256
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
A_FOD815111101,PUSH BUTTON,H1111_DetailedDisplay,FOD,,
@end
